"doi","journal","publication_date","article_type","financial_disclosure","title","pmid","citeulike","crossref","pubmed","scopus","counter_pdf","counter_html","counter_xml","counter","researchblogging","pmc_pdf","pmc_html","pmc","facebook_shares","facebook_likes","facebook_comments","facebook_clicks","facebook","mendeley_readers","mendeley_groups","mendeley","twitter"
"10.1371/journal.pone.0043754","PLoS ONE","2012-08-31","Research Article","Funding provided by Wellcome Trust grants WT069598MA and 069598/Z/02/B. The Biomedical Research Centre provided staff and infrastructure support in the United Kingdom. The SMART trial was funded by National Institute of Health Grants U01-AI068641, U01-AI046362 and U01-AI042170. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Plasma HIV Viral Rebound following Protocol-Indicated Cessation of ART Commenced in Primary and Chronic HIV Infection",NA,0,0,0,0,1,23,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0044214","PLoS ONE","2012-08-31","Research Article","This work was supported by the Wellcome Trust (087518/Z/08/Z), the Hungarian Academy of Sciences (BO/00552/11), and the European Union and the European Social Fund contributed to the purchase of the electron microscope (TÁMOP 4.2.1./B-09/1/KMR-2010–0003). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Advantages and Limitations of Different p62-Based Assays for Estimating Autophagic Activity in Drosophila",NA,0,0,0,0,4,72,1,77,0,0,0,0,0,0,0,0,0,0,0,0,1
"10.1371/journal.pgen.1002917","PLoS Genetics","2012-08-30","Research Article","This work was funded by awards from ASAB (http://asab.nottingham.ac.uk/), The Lloyds Tercentenary Foundation (http://www.lloyds.com/Lloyds/Corporate-Responsibility/Charity/Tercentenary-Research-Foundation), and the Wellcome Trust (http://www.wellcome.ac.uk/) to SW; from the Natural Sciences and Engineering Research Council of Canada (http://www.nserc-crsng.gc.ca/index_eng.asp) to JCP; from the BBSRC (http://www.bbsrc.ac.uk/) and ERC (http://erc.europa.eu/) (grant agreement 260233) to JEM; and from the Philip Leverhulme Prize (http://www.leverhulme.ac.uk/index.cfm) to TP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Experimental Evolution of a Novel Sexually Antagonistic Allele",NA,0,0,0,0,39,199,2,240,0,0,0,0,0,0,0,0,0,0,0,0,5
"10.1371/journal.pgen.1002936","PLoS Genetics","2012-08-30","Research Article","This work was supported by grants from the Wellcome Trust (THG, MRF), Department of Defense BCRP (TMR), and NIH RO1 NS059991 (MRF). TMW is currently supported by Roslin Institute Strategic Grant funding from the BBSRC. MRF is an Early Career Scientist of the Howard Hughes Medical Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Combining Comparative Proteomics and Molecular Genetics Uncovers Regulators of Synaptic and Axonal Stability and Degeneration In Vivo",NA,0,0,0,0,21,124,0,145,0,0,0,0,0,0,0,0,0,0,0,0,1
"10.1371/journal.pone.0042099","PLoS ONE","2012-08-30","Research Article","The funding for this study came from core funds, provided mostly by the Wellcome Trust of Grat Britain. No additional external funding received for this study. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Spectrum of Central Nervous System Infections in an Adult Referral Hospital in Hanoi, Vietnam",NA,0,0,0,0,4,138,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1002896","PLoS Pathogens","2012-08-30","Research Article","Funding was provided by: Medical Research Council (U105181010: AJP, AJF, TS, TE, JWC, GJT, LCJ); European Research Council (ERC 281627 - IAI); Wellcome Trust; National Institute for Health Research UCL/UCLH Comprehensive Biomedical Research Centre; Emmanuel College, Cambridge; National Cancer Institute's intramural Center for Cancer Research. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","CPSF6 Defines a Conserved Capsid Interface that Modulates HIV-1 Replication",NA,0,0,0,0,18,105,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1002901","PLoS Pathogens","2012-08-30","Research Article","This work was supported by: The Wellcome Trust (WT066784/Z/02/Z), and the BBSRC/EPSRC to SynthSys, a Centre for Integrative Systems Biology (CISB) reference BB/D019621/1 to PG. Deutsche Forschungsgemeinschaft, research fellowship KR-3890/1-1 to KK. BBSRC studentship, and University of Edinburgh Principal's Fellowship to SRM. The work of HT was supported by grants from the Wellcome Trust and the European Research Council (233457-SCG) to Mike Tyers. Deutsche Forschungsgemeinschaft, SFB 587, individual project A13 to MM. Deutsche Forschungsgemeinschaft, SFB 490, individual projects E2 and E4 to VW and MJR. Ministerio de Ciencia e Innovacion (SAF2008-00382 and SAF2011-25155) to AA. SULSA (Scottish Universities Life Sciences Alliance) to MA. Helmholtz Society through collaborative research program VISTRIE to SJ. British Heart Foundation reference FS/05/022 and University of Edinburgh Alumni Fund to MB. IF is funded by National Institutes of Health. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Ablation of the Regulatory IE1 Protein of Murine Cytomegalovirus Alters In Vivo Pro-inflammatory TNF-alpha Production during Acute Infection",NA,0,0,0,0,18,158,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0043019","PLoS ONE","2012-08-29","Research Article","This work was supported by the Canadian Institutes for Health Research, the Canadian Foundation for Innovation, Genome Canada through the Ontario Genomics Institute, GlaxoSmithKline, Karolinska Institutet, the Knut and Alice Wallenberg Foundation, the Ontario Innovation Trust, the Ontario Ministry for Research and Innovation, Merck & Co., Inc., the Novartis Research Foundation, the Swedish Agency for Innovation Systems, the Swedish Foundation for Strategic Research, and the Wellcome Trust. Additional funding was provided by the Doktoratskolleg 'Molecular Enzymology' Grant W901-B05 from the Austrian Science Fund (to KG). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Structures of Human DPP7 Reveal the Molecular Basis of Specific Inhibition and the Architectural Diversity of Proline-Specific Peptidases",NA,0,0,0,0,1,77,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1001300","PLoS Medicine","2012-08-28","Research Article","Partial funding for the assembly of individual patient data and meta-analysis was provided from the Stop TB Department of the World Health Organization, through a grant from USAID. Funding for data gathering at participating centres came from the following sources: in the State of California from the US Centers for Disease Control Cooperative Agreement Funds; in Italy from the European Community's Seventh Framework Programme (FP7/2007–2013) under grant agreement FP7- 223681; in Mexico (Veracruz) from the Mexican Secretariat of Health, the National Institutes of Health of the United States (A135969 and K01TW000001), the Wellcome Trust (176W009), the Howard Hughes Medical Institute (55000632), and the Mexican Council of Science and Technology: SEP 2004-C01-47499, FOSSIS 2005-2 (14475), (87332); in South Africa from the South African Medical Research Council funding. Funding was provided to the following investigators: M Bauer and D Menzies were supported by salary awards from the Fonds de Recherche en Sante de Quebec, L Shah was supported by CIHR (Canada Graduate Scholarship), Neel Gandhi received a Doris Duke Charitable Foundation Clinical Scientist Development Award. The funders had no role in study design, data collection and analysis, decisions to publish,or preparation of the manuscript.","Multidrug Resistant Pulmonary Tuberculosis Treatment Regimens and Patient Outcomes: An Individual Patient Data Meta-analysis of 9,153 Patients",NA,0,0,0,0,110,724,4,838,0,0,0,0,1,0,0,0,1,0,0,0,11
"10.1371/journal.pntd.0001766","PLoS Neglected Tropical Diseases","2012-08-28","Research Article","This study was funded by grants from the Band Aid Foundation (via Fight For Sight). MJB is supported by The Wellcome Trust (Grant number 080741/Z/06/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Why Do People Not Attend for Treatment for Trachomatous Trichiasis in Ethiopia? A Study of Barriers to Surgery",NA,0,0,0,0,10,167,1,178,0,0,0,0,0,0,0,0,0,0,0,0,1
